link,price,name,location,features,description,store,city,rooms,wc,area
https://www.pisos.com/comprar/piso-el_campello_pueblo-28379483973_107700/,262.0,Piso en Carrer de l'Alcalde Oncina Giner,El Campello Pueblo (El Campello),"['2 habs.', '2 baños', '115 m²']","¡¡¡Obra nueva, piso 2 dormitorios con gran terraza de 20 m² y vistas al mar!!!

Piso seminuevo, solo tiene 1 año, planta 9, orient...",https://www.pisos.com/microsite-century_21_home_dreams/,El Campello,2,2,115
https://www.pisos.com/comprar/piso-platja_muchavista-29182268414_108500/,399.9,Piso en Platja Muchavista,Platja Muchavista (El Campello),"['3 habs.', '2 baños', '111 m²']","Moderno piso con orientación sureste e increíbles vistas al mar y a pocos pasos de la  plsya, en urbanización completa. 

Descripc...",,El Campello,3,2,111
https://www.pisos.com/comprar/piso-el_campello_playa-23416630751_100500/,170.0,Piso en Avenida de Alcoy,El Campello Playa (El Campello),"['2 habs.', '2 baños', '74 m²', 'Bajo']","Este piso se encuentra en avinguda d'alcoi, 03560, el campello, alicante, en la planta bajo. Es un piso que tiene 74 m² de los cua...",,El Campello,2,2,74
https://www.pisos.com/comprar/piso-el_campello_playa-23369242373_514835/,145.0,"Piso en Carrer de Sant Ramon, 30",El Campello Playa (El Campello),"['3 habs.', '2 baños', '120 m²', '1ª planta']","Se vende amplio piso de esquina en el campello, con patio de unos 20m² y dos terrazas. Vivienda dispone de tres dormitorios dobles...",,El Campello,3,2,120
https://www.pisos.com/comprar/piso-el_campello_playa-23377708309_100500/,155.0,Piso en Avenida de Alcoy,El Campello Playa (El Campello),"['2 habs.', '2 baños', '75 m²', 'Bajo']","Este piso se encuentra en avinguda d'alcoi, 03560, el campello, alicante, en la planta bajo. Es un piso que tiene 75 m² de los cua...",,El Campello,2,2,75
https://www.pisos.com/comprar/apartamento-norte_venta_lanuza_cala_or-29172021251_511898/,114.0,Apartamento en Carrer de l'Oriolà,Norte-Venta Lanuza-Cala d'Or (El Campello),"['2 habs.', '1 baño', '96 m²', '3ª planta']","Moderno apartamento de dos dormitorios con trastero y parking.
La vivienda se encuentra ubicada en el complejo residencial cala d'...",https://www.pisos.com/microsite-servicios_inmobiliarios_el_campello_xx/,El Campello,2,1,96
https://www.pisos.com/comprar/apartamento-platja_muchavista-27526121926_511898/,199.9,Apartamento en calle de El Greco,Platja Muchavista (El Campello),"['2 habs.', '1 baño', '80 m²', '2ª planta']","Este apartamento situado en playa muchavista de el campello, ha sido reformado completamente con materiales de primerísima calidad...",https://www.pisos.com/microsite-servicios_inmobiliarios_el_campello_xx/,El Campello,2,1,80
https://www.pisos.com/comprar/piso-el_campello_pueblo-29198819752_100500/,98.0,Piso en calle Carrer de Fra Juan Tensa,El Campello Pueblo (El Campello),"['3 habs.', '1 baño', '90 m²', '1ª planta']","Este piso se encuentra en carrer de fra juan tensa, 03560, el campello, alicante, en la planta 1. Es un piso soleado, construido e...",,El Campello,3,1,90
https://www.pisos.com/comprar/piso-el_campello_playa-840653666_511898/,165.0,Piso en Carrer de Sant Bartomeu,El Campello Playa (El Campello),"['3 habs.', '2 baños', '107 m²', '1ª planta']","Amplio piso en excelente estado en calle san bartolomé con dos patios.
3 dormitorios y 2 cuartos de baño, uno de  ellos en suite. ...",https://www.pisos.com/microsite-servicios_inmobiliarios_el_campello_xx/,El Campello,3,2,107
https://www.pisos.com/comprar/atico-el_campello_playa-25097294796_103800/,240.0,"Ático en Carrer de Gastón Castelló, 2",El Campello Playa (El Campello),"['3 habs.', '2 baños', '125 m²']","Ático con 3 habitaciones y 2 baños, superficie util de 125 metros cuadrados, antigüedad entre 30 y 50 años, armarios empotrados 3 ...",,El Campello,3,2,125
